c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
2025-04-09,SPY   250509C00300000,30,627,2025-05-09,C,300.0,198.34,198.34,198.34,244.845,1,0,1.012723,0.985302,1.012723,0.000224,-0.113122,0.055141,0.238799,246.57,243.12,543.37,-44.79,138169205,0
2025-04-09,SPY   250509C00305000,30,627,2025-05-09,C,305.0,195.95,195.95,195.95,239.93,1,0,0.999194,0.984136,0.999194,0.000244,-0.119018,0.05911,0.242318,241.74,238.12,543.37,-43.87,138169207,0
2025-04-09,SPY   250509C00310000,30,627,2025-05-09,C,310.0,,,,235.005,0,0,0.98346,0.98306,0.98346,0.000263,-0.123925,0.062721,0.245885,236.84,233.17,543.37,-42.95,138169209,0
2025-04-09,SPY   250509C00315000,30,627,2025-05-09,C,315.0,,,,229.805,0,0,0.921861,0.985477,0.921861,0.000244,-0.105663,0.054542,0.251238,231.5,228.11,543.37,-42.03,138169211,0
2025-04-09,SPY   250509C00320000,30,627,2025-05-09,C,320.0,,,,224.98,0,0,0.924677,0.983019,0.924677,0.00028,-0.119192,0.062859,0.254106,226.68,223.28,543.37,-41.11,138169213,0
2025-04-09,SPY   250509C00325000,30,627,2025-05-09,C,325.0,,,,220.035,0,0,0.906461,0.982113,0.906461,0.000299,-0.12237,0.065864,0.257766,221.77,218.3,543.37,-40.19,138169215,0
2025-04-09,SPY   250509C00330000,30,627,2025-05-09,C,330.0,,,,215.16,0,0,0.898136,0.980254,0.898136,0.00033,-0.131039,0.071937,0.260943,217.0,213.32,543.37,-39.27,138169217,0
2025-04-09,SPY   250509C00335000,30,627,2025-05-09,C,335.0,,,,210.04001,0,0,0.854847,0.981642,0.854847,0.000325,-0.120085,0.067412,0.265771,211.71,208.37,543.37,-38.35,138169219,0
2025-04-09,SPY   250509C00340000,30,627,2025-05-09,C,340.0,,,,205.195,0,0,0.850909,0.97926,0.850909,0.000364,-0.131056,0.075134,0.268689,207.03,203.36,543.37,-37.43,138169221,0
2025-04-09,SPY   250509C00345000,30,627,2025-05-09,C,345.0,,,,200.245,0,0,0.83195,0.978282,0.83195,0.000388,-0.133547,0.078251,0.272321,202.0,198.49,543.37,-36.51,138169223,0
2025-04-09,SPY   250509C00350000,30,627,2025-05-09,C,350.0,153.32,192.27,151.42,195.345,4,0,0.819086,0.976566,0.819086,0.000421,-0.139736,0.083646,0.275582,197.08,193.61,543.37,-35.59,138169225,0
2025-04-09,SPY   250509C00355000,30,627,2025-05-09,C,355.0,,,,190.37,0,0,0.797075,0.975849,0.797075,0.000444,-0.140189,0.085875,0.279351,192.15,188.59,543.37,-34.67,138169227,0
2025-04-09,SPY   250509C00360000,30,627,2025-05-09,C,360.0,,,,185.41,0,24,0.776993,0.974884,0.776993,0.000471,-0.141716,0.088852,0.282997,187.2,183.62,543.37,-33.75,138169229,0
2025-04-09,SPY   250509C00365000,30,627,2025-05-09,C,365.0,,,,180.51999,0,0,0.764522,0.972857,0.764522,0.000512,-0.148221,0.095026,0.286111,182.28,178.76,543.37,-32.83,138169231,0
2025-04-09,SPY   250509C00370000,30,627,2025-05-09,C,370.0,,,,175.6,0,0,0.74847,0.971198,0.74847,0.000551,-0.152388,0.099998,0.289414,177.35,173.85,543.37,-31.91,138169233,0
2025-04-09,SPY   250509C00375000,30,627,2025-05-09,C,375.0,169.63,169.63,169.63,170.475,1,3,0.711804,0.972573,0.711804,0.000555,-0.142075,0.09588,0.29424,172.02,168.93,543.37,-30.99,137973633,0
2025-04-09,SPY   250509C00380000,30,627,2025-05-09,C,380.0,,,,165.765,0,0,0.716202,0.967602,0.716202,0.000636,-0.160606,0.110551,0.295891,167.51,164.02,543.37,-30.07,137973635,0
2025-04-09,SPY   250509C00385000,30,627,2025-05-09,C,385.0,,,,160.37,0,0,0.654194,0.973343,0.654194,0.000589,-0.131584,0.093555,0.302889,161.61,159.13,543.37,-29.15,137973637,0
2025-04-09,SPY   250509C00390000,30,627,2025-05-09,C,390.0,,,,155.475,0,2,0.642198,0.971026,0.642198,0.000645,-0.137628,0.10051,0.305878,156.74,154.21,543.37,-28.23,137973639,0
2025-04-09,SPY   250509C00395000,30,627,2025-05-09,C,395.0,,,,150.535,0,0,0.625353,0.969405,0.625353,0.000694,-0.140308,0.105298,0.309214,151.81,149.26,543.37,-27.31,137973641,0
2025-04-09,SPY   250509C00400000,30,627,2025-05-09,C,400.0,105.85,135.67,105.85,145.62,5,4,0.610674,0.96726,0.610674,0.000753,-0.144567,0.111541,0.312296,146.92,144.32,543.37,-26.39,137973643,0
2025-04-09,SPY   250509C00405000,30,627,2025-05-09,C,405.0,99.62,101.22,99.62,140.82999,25,4,0.606013,0.962831,0.606013,0.000844,-0.156757,0.124119,0.314255,142.04,139.62,543.37,-25.47,137973645,0
2025-04-09,SPY   250509C00410000,30,627,2025-05-09,C,410.0,,,,136.04001,0,10,0.599565,0.958321,0.599565,0.000938,-0.168179,0.136535,0.316178,136.47,135.61,543.37,-24.54,137973647,0
2025-04-09,SPY   250509C00415000,30,627,2025-05-09,C,415.0,,,,131.215,0,0,0.589274,0.954283,0.589274,0.00103,-0.176826,0.147342,0.31834,131.65,130.78,543.37,-23.62,137973649,0
2025-04-09,SPY   250509C00420000,30,627,2025-05-09,C,420.0,,,,126.33,0,1,0.574256,0.951098,0.574256,0.001117,-0.18154,0.155675,0.320933,126.78,125.88,543.37,-22.7,137973651,0
2025-04-09,SPY   250509C00425000,30,627,2025-05-09,C,425.0,,,,121.399994,0,10,0.556132,0.948516,0.556132,0.001203,-0.183452,0.162313,0.323832,121.85,120.95,543.37,-21.78,137973653,0
2025-04-09,SPY   250509C00430000,30,627,2025-05-09,C,430.0,,,,116.595,0,1,0.545206,0.943634,0.545206,0.00132,-0.191991,0.174599,0.325601,117.05,116.14,543.37,-20.86,137973655,0
2025-04-09,SPY   250509C00435000,30,627,2025-05-09,C,435.0,,,,111.755,0,1,0.531534,0.939142,0.531534,0.001439,-0.198121,0.185609,0.327572,112.2,111.31,543.37,-19.94,137973657,0
2025-04-09,SPY   250509C00440000,30,627,2025-05-09,C,440.0,65.51,65.51,65.51,106.935,2,3,0.518325,0.934082,0.518325,0.001572,-0.204801,0.197696,0.329274,107.36,106.51,543.37,-19.02,137973659,0
2025-04-09,SPY   250509C00445000,30,627,2025-05-09,C,445.0,61.38,61.38,61.38,102.055,2,0,0.501613,0.929783,0.501613,0.001706,-0.208041,0.207716,0.331365,102.47,101.64,543.37,-18.1,137973661,0
2025-04-09,SPY   250509C00450000,30,627,2025-05-09,C,450.0,80.0,80.0,80.0,97.25,2,9,0.488032,0.923918,0.488032,0.001866,-0.214458,0.22104,0.332695,97.66,96.84,543.37,-17.18,137973663,0
2025-04-09,SPY   250509C00455000,30,627,2025-05-09,C,455.0,,,,92.509995,0,4,0.476564,0.916624,0.476564,0.00205,-0.223182,0.237086,0.333334,92.92,92.1,543.37,-16.26,137973665,0
2025-04-09,SPY   250509C00460000,30,627,2025-05-09,C,460.0,53.58,82.09,52.35,87.735,13,6,0.462774,0.909553,0.462774,0.002245,-0.229546,0.25212,0.334101,88.14,87.33,543.37,-15.34,137973667,0
2025-04-09,SPY   250509C00465000,30,627,2025-05-09,C,465.0,50.11,50.11,47.5,82.990005,2,21,0.449406,0.901556,0.449406,0.002462,-0.236399,0.268545,0.334429,83.41,82.57,543.37,-14.42,137973669,0
2025-04-09,SPY   250509C00470000,30,627,2025-05-09,C,470.0,45.91,78.88,44.74,78.215,23,101,0.434191,0.893573,0.434191,0.002699,-0.24121,0.284365,0.334788,78.63,77.8,543.37,-13.5,137973671,0
2025-04-09,SPY   250509C00475000,30,627,2025-05-09,C,475.0,42.22,74.19,42.22,73.604996,16,69,0.423784,0.882319,0.423784,0.002973,-0.251369,0.305749,0.333551,74.02,73.19,543.37,-12.58,137973673,0
2025-04-09,SPY   250509C00480000,30,627,2025-05-09,C,480.0,36.17,58.81,35.45,68.665,65,45,0.401871,0.87583,0.401871,0.003257,-0.248419,0.317617,0.334714,69.05,68.28,543.37,-11.66,137973675,0
2025-04-09,SPY   250509C00485000,30,627,2025-05-09,C,485.0,32.44,58.9,32.44,64.14,30,175,0.392162,0.861786,0.392162,0.003596,-0.259195,0.342216,0.33216,64.59,63.69,543.37,-10.74,137973677,0
2025-04-09,SPY   250509C00490000,30,627,2025-05-09,C,490.0,28.44,58.32,28.44,59.815,49,117,0.38637,0.843942,0.38637,0.003962,-0.274348,0.371462,0.327746,60.21,59.42,543.37,-9.82,137973679,0
2025-04-09,SPY   250509C00495000,30,627,2025-05-09,C,495.0,26.15,57.37,25.47,55.32,156,152,0.374191,0.827883,0.374191,0.004361,-0.281843,0.395997,0.324269,55.73,54.91,543.37,-8.9,137973681,0
2025-04-09,SPY   250509C00500000,30,627,2025-05-09,C,500.0,22.92,53.08,22.52,50.725,549,296,0.358254,0.81211,0.358254,0.004814,-0.284555,0.418556,0.321001,51.17,50.28,543.37,-7.98,137973683,0
2025-04-09,SPY   250509C00505000,30,627,2025-05-09,C,505.0,19.68,46.54,19.68,46.35,147,267,0.346201,0.791909,0.346201,0.005301,-0.291118,0.445349,0.315575,46.74,45.96,543.37,-7.06,137973685,0
2025-04-09,SPY   250509C00506000,30,627,2025-05-09,C,506.0,19.94,39.73,19.64,45.73,64,51,0.349225,0.78441,0.349225,0.005366,-0.298516,0.454722,0.312735,46.29,45.17,543.37,-6.88,138102005,0
2025-04-09,SPY   250509C00507000,30,627,2025-05-09,C,507.0,18.59,45.03,18.59,44.85,12,20,0.346379,0.780237,0.346379,0.00547,-0.299191,0.459807,0.311595,45.41,44.29,543.37,-6.6899999999999995,138102007,0
2025-04-09,SPY   250509C00508000,30,627,2025-05-09,C,508.0,18.54,44.32,18.54,44.0,14,69,0.344118,0.775626,0.344118,0.005572,-0.30049,0.465319,0.310234,44.56,43.44,543.37,-6.51,138102009,0
2025-04-09,SPY   250509C00509000,30,627,2025-05-09,C,509.0,20.0,45.0,17.99,43.165,308,262,0.3421,0.770772,0.3421,0.005673,-0.302022,0.471002,0.308753,43.72,42.61,543.37,-6.33,138102011,0
2025-04-09,SPY   250509C00510000,30,627,2025-05-09,C,510.0,17.5,40.55,16.94,42.36,301,1972,0.340629,0.765505,0.340629,0.005771,-0.304123,0.477031,0.307062,42.76,41.96,543.37,-6.14,137973687,0
2025-04-09,SPY   250509C00511000,30,627,2025-05-09,C,511.0,18.07,33.28,18.07,41.489998,13,83,0.337715,0.760947,0.337715,0.005883,-0.304555,0.482135,0.305742,42.05,40.93,543.37,-5.96,138102013,0
2025-04-09,SPY   250509C00512000,30,627,2025-05-09,C,512.0,18.6,36.23,17.49,40.64,90,174,0.335147,0.756081,0.335147,0.005994,-0.305328,0.487468,0.304267,41.2,40.08,543.37,-5.77,138102015,0
2025-04-09,SPY   250509C00513000,30,627,2025-05-09,C,513.0,16.16,32.24,16.16,39.835,7,51,0.333419,0.750634,0.333419,0.006097,-0.306987,0.493298,0.302496,40.39,39.28,543.37,-5.59,138102017,0
2025-04-09,SPY   250509C00514000,30,627,2025-05-09,C,514.0,17.67,37.31,15.69,38.905,13,68,0.329088,0.746511,0.329088,0.006231,-0.305699,0.497614,0.301419,39.38,38.43,543.37,-5.41,138102019,0
2025-04-09,SPY   250509C00515000,30,627,2025-05-09,C,515.0,17.0,38.75,14.88,38.010002,190,564,0.325413,0.741897,0.325413,0.006361,-0.305092,0.502346,0.300094,38.4,37.62,543.37,-5.22,137973689,0
2025-04-09,SPY   250509C00516000,30,627,2025-05-09,C,516.0,16.19,36.09,14.45,37.415,44,61,0.327579,0.733985,0.327579,0.006418,-0.31088,0.51022,0.29705,37.97,36.86,543.37,-5.04,138102021,0
2025-04-09,SPY   250509C00517000,30,627,2025-05-09,C,517.0,16.2,33.56,15.05,36.620003,64,80,0.325678,0.728181,0.325678,0.006526,-0.3121,0.515807,0.295111,37.18,36.06,543.37,-4.85,138102023,0
