,c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
0,2025-04-08,SPY   250509P00300000,31,627,2025-05-09,P,300.0,0.34,1.35,0.3,1.0899999,298,0,0.911745,-0.020443,0.911745,0.000374,-0.103666,0.071408,-0.009551,1.12,1.06,496.74,39.61,138169206,0
1,2025-04-08,SPY   250509P00305000,31,627,2025-05-09,P,305.0,0.34,1.38,0.34,1.1800001,12,0,0.897709,-0.022251,0.897709,0.000408,-0.109608,0.07671,-0.010389,1.21,1.15,496.74,38.6,138169208,0
2,2025-04-08,SPY   250509P00310000,31,627,2025-05-09,P,310.0,,,,1.27,0,0,0.882962,-0.024113,0.882962,0.000444,-0.115311,0.082081,-0.011252,1.3,1.24,496.74,37.59,138169210,0
3,2025-04-08,SPY   250509P00315000,31,627,2025-05-09,P,315.0,0.39,1.37,0.39,1.37,17,0,0.868744,-0.02617,0.868744,0.000483,-0.121463,0.08791,-0.012204,1.4,1.34,496.74,36.59,138169212,0
4,2025-04-08,SPY   250509P00320000,31,627,2025-05-09,P,320.0,1.66,1.78,1.65,1.48,3,0,0.854917,-0.028427,0.854917,0.000526,-0.128014,0.09419,-0.01325,1.51,1.45,496.74,35.58,138169214,0
5,2025-04-08,SPY   250509P00325000,31,627,2025-05-09,P,325.0,0.52,2.14,0.52,1.6,152,0,0.841368,-0.030888,0.841368,0.000572,-0.134916,0.100911,-0.01439,1.63,1.57,496.74,34.57,138169216,0
6,2025-04-08,SPY   250509P00330000,31,627,2025-05-09,P,330.0,,,,1.73,0,0,0.827999,-0.033561,0.827999,0.000623,-0.14212,0.108066,-0.015628,1.77,1.69,496.74,33.57,138169218,0
7,2025-04-08,SPY   250509P00335000,31,627,2025-05-09,P,335.0,0.55,2.17,0.55,1.865,11,0,0.814297,-0.036385,0.814297,0.000677,-0.14928,0.115475,-0.016934,1.9,1.83,496.74,32.56,138169220,0
8,2025-04-08,SPY   250509P00340000,31,627,2025-05-09,P,340.0,1.15,1.72,1.15,2.0149999,2,0,0.801087,-0.0395,0.801087,0.000736,-0.156959,0.12348,-0.018376,2.05,1.98,496.74,31.55,138169222,0
9,2025-04-08,SPY   250509P00345000,31,627,2025-05-09,P,345.0,1.1,1.1,0.99,2.17,37,0,0.78747,-0.042782,0.78747,0.000798,-0.164521,0.131737,-0.019892,2.21,2.13,496.74,30.55,138169224,0
10,2025-04-08,SPY   250509P00350000,31,627,2025-05-09,P,350.0,1.0,2.1,1.0,2.345,52,0,0.774539,-0.046436,0.774539,0.000867,-0.172768,0.140728,-0.021583,2.39,2.3,496.74,29.54,138169226,0
11,2025-04-08,SPY   250509P00355000,31,627,2025-05-09,P,355.0,1.16,2.81,1.16,2.53,49,0,0.761449,-0.050341,0.761449,0.000941,-0.181073,0.150116,-0.023387,2.57,2.49,496.74,28.53,138169228,0
12,2025-04-08,SPY   250509P00360000,31,627,2025-05-09,P,360.0,0.93,2.56,0.81,2.725,50,0,0.748173,-0.054508,0.748173,0.00102,-0.189392,0.159898,-0.025311,2.77,2.68,496.74,27.53,138169230,0
13,2025-04-08,SPY   250509P00365000,31,627,2025-05-09,P,365.0,1.0,3.65,1.0,2.95,34,0,0.735861,-0.059201,0.735861,0.001107,-0.198669,0.170647,-0.027482,3.0,2.9,496.74,26.52,138169232,0
14,2025-04-08,SPY   250509P00370000,31,627,2025-05-09,P,370.0,0.99,3.9,0.99,3.18,65,0,0.722904,-0.064116,0.722904,0.001199,-0.207568,0.181612,-0.029751,3.23,3.13,496.74,25.51,138169234,0
15,2025-04-08,SPY   250509P00375000,31,627,2025-05-09,P,375.0,1.17,4.54,0.98,3.405,279,743,0.708822,-0.068919,0.708822,0.001298,-0.215867,0.194876,-0.030157,3.44,3.37,496.74,24.51,137973634,0
16,2025-04-08,SPY   250509P00380000,31,627,2025-05-09,P,380.0,1.22,4.76,1.11,3.7,87,184,0.697435,-0.075232,0.697435,0.001405,-0.226152,0.205407,-0.034882,3.76,3.64,496.74,23.5,137973636,0
17,2025-04-08,SPY   250509P00385000,31,627,2025-05-09,P,385.0,1.32,4.93,1.2,3.9900002,23,71,0.6845,-0.081239,0.6845,0.001524,-0.23599,0.225344,-0.035363,4.05,3.93,496.74,22.49,137973638,0
18,2025-04-08,SPY   250509P00390000,31,627,2025-05-09,P,390.0,1.49,5.37,1.4,4.305,29,173,0.671837,-0.08801,0.671837,0.001648,-0.245775,0.227066,-0.038342,4.37,4.24,496.74,21.49,137973640,0
19,2025-04-08,SPY   250509P00395000,31,627,2025-05-09,P,395.0,1.57,5.95,1.37,4.6400003,308,188,0.659511,-0.095474,0.659511,0.001777,-0.255006,0.245578,-0.04422,4.71,4.57,496.74,20.48,137973642,0
20,2025-04-08,SPY   250509P00400000,31,627,2025-05-09,P,400.0,1.69,6.39,1.5,5.0150003,513,459,0.646944,-0.103272,0.646944,0.001927,-0.265839,0.259707,-0.04474,5.09,4.94,496.74,19.47,137973644,0
21,2025-04-08,SPY   250509P00405000,31,627,2025-05-09,P,405.0,1.93,5.6,1.63,5.41,70,223,0.634916,-0.11199,0.634916,0.002072,-0.275066,0.275728,-0.051842,5.49,5.33,496.74,18.47,137973646,0
22,2025-04-08,SPY   250509P00410000,31,627,2025-05-09,P,410.0,2.15,7.5,1.75,5.8450003,35530,192,0.622008,-0.121134,0.622008,0.002246,-0.285855,0.294116,-0.052203,5.94,5.75,496.74,17.46,137973648,0
23,2025-04-08,SPY   250509P00415000,31,627,2025-05-09,P,415.0,2.26,8.11,1.91,6.31,363,287,0.610194,-0.131162,0.610194,0.002423,-0.296397,0.307721,-0.056374,6.39,6.23,496.74,16.46,137973650,0
24,2025-04-08,SPY   250509P00420000,31,627,2025-05-09,P,420.0,2.54,8.75,2.11,6.81,690,431,0.59741,-0.141962,0.59741,0.002611,-0.305779,0.32959,-0.060782,6.91,6.71,496.74,15.45,137973652,0
25,2025-04-08,SPY   250509P00425000,31,627,2025-05-09,P,425.0,2.79,9.37,2.29,7.37,154,178,0.586001,-0.153839,0.586001,0.002812,-0.316388,0.346835,-0.06567,7.48,7.26,496.74,14.44,137973654,0
26,2025-04-08,SPY   250509P00430000,31,627,2025-05-09,P,430.0,3.0,9.69,2.53,7.9300003,201,401,0.572349,-0.16621,0.572349,0.003026,-0.324275,0.365742,-0.070717,8.0,7.86,496.74,13.44,137973656,0
27,2025-04-08,SPY   250509P00435000,31,627,2025-05-09,P,435.0,3.29,10.63,2.77,8.625,379,554,0.562081,-0.180434,0.562081,0.003251,-0.335399,0.378644,-0.076486,8.74,8.51,496.74,12.43,137973658,0
28,2025-04-08,SPY   250509P00440000,31,627,2025-05-09,P,440.0,3.62,11.48,2.99,9.33,70791,349,0.549737,-0.195312,0.549737,0.003489,-0.343681,0.401687,-0.08249,9.45,9.21,496.74,11.42,137973660,0
29,2025-04-08,SPY   250509P00445000,31,627,2025-05-09,P,445.0,4.05,11.7,3.51,10.105,127,197,0.538566,-0.211467,0.538566,0.003739,-0.352827,0.433829,-0.088608,10.23,9.98,496.74,10.42,137973662,0
30,2025-04-08,SPY   250509P00450000,31,627,2025-05-09,P,450.0,4.44,13.44,3.63,10.945,1986,772,0.52628,-0.228864,0.52628,0.004001,-0.359658,0.436948,-0.095856,11.07,10.82,496.74,9.41,137973664,0
31,2025-04-08,SPY   250509P00455000,31,627,2025-05-09,P,455.0,4.99,13.7,4.11,11.865,94,636,0.515094,-0.247669,0.515094,0.004273,-0.367078,0.466886,-0.103015,12.0,11.73,496.74,8.4,137973666,0
32,2025-04-08,SPY   250509P00460000,31,627,2025-05-09,P,460.0,5.32,15.86,4.52,12.865,302,353,0.503577,-0.267902,0.503577,0.004554,-0.372922,0.4706,-0.111019,12.99,12.74,496.74,7.4,137973668,0
33,2025-04-08,SPY   250509P00465000,31,627,2025-05-09,P,465.0,5.78,17.24,5.08,13.945,172,252,0.491743,-0.289591,0.491743,0.004844,-0.37706,0.49781,-0.119212,14.08,13.81,496.74,6.39,137973670,0
34,2025-04-08,SPY   250509P00470000,31,627,2025-05-09,P,470.0,6.55,18.4,5.44,15.139999,35927,661,0.48105,-0.312996,0.48105,0.005136,-0.381362,0.521518,-0.127712,15.29,14.99,496.74,5.38,137973672,0
35,2025-04-08,SPY   250509P00475000,31,627,2025-05-09,P,475.0,7.27,20.0,6.26,16.44,525,1290,0.469673,-0.33802,0.469673,0.005429,-0.382803,0.525462,-0.137233,16.6,16.28,496.74,4.38,137973674,0
