c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
2025-05-02,SPY   250509C00250000,7,627,2025-05-09,C,250.0,,,,317.08002,0,30,0.860449,0.999685,-1.0,0.0,-0.004451,0.0,0.047905,318.5,315.66,566.62,-55.88,138505359,0
2025-05-02,SPY   250509P00250000,7,627,2025-05-09,P,250.0,,,,0.0,0,1901,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,55.88,138505360,0
2025-05-02,SPY   250509C00255000,7,627,2025-05-09,C,255.0,,,,312.08502,0,0,0.860449,0.999685,-1.0,0.0,-0.00505,0.0,0.048863,313.5,310.67,566.62,-55.0,138505361,0
2025-05-02,SPY   250509P00255000,7,627,2025-05-09,P,255.0,,,,0.0,0,0,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,55.0,138505362,0
2025-05-02,SPY   250509C00260000,7,627,2025-05-09,C,260.0,305.18,305.37,305.18,307.095,60,5,0.860449,0.999685,-1.0,0.0,-0.00565,0.0,0.049821,308.52,305.67,566.62,-54.11,138505363,0
2025-05-02,SPY   250509P00260000,7,627,2025-05-09,P,260.0,,,,0.0,0,403,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,54.11,138505364,0
2025-05-02,SPY   250509C00265000,7,627,2025-05-09,C,265.0,,,,302.10498,0,0,0.860449,0.999685,-1.0,0.0,-0.006249,0.0,0.050779,303.53,300.68,566.62,-53.23,138505365,0
2025-05-02,SPY   250509P00265000,7,627,2025-05-09,P,265.0,,,,0.0,0,1,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,53.23,138505366,0
2025-05-02,SPY   250509C00270000,7,627,2025-05-09,C,270.0,,,,297.10498,0,0,0.860449,0.999685,-1.0,0.0,-0.006848,0.0,0.051737,298.53,295.68,566.62,-52.35,138505367,0
2025-05-02,SPY   250509P00270000,7,627,2025-05-09,P,270.0,,,,0.0,0,3,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,52.35,138505368,0
2025-05-02,SPY   250509C00275000,7,627,2025-05-09,C,275.0,,,,292.09998,0,0,0.860449,0.999685,-1.0,0.0,-0.007448,0.0,0.052695,293.52,290.68,566.62,-51.47,138505369,0
2025-05-02,SPY   250509P00275000,7,627,2025-05-09,P,275.0,,,,0.0,0,826,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,51.47,138505370,0
2025-05-02,SPY   250509C00280000,7,627,2025-05-09,C,280.0,,,,287.11,0,0,0.860449,0.999685,-1.0,0.0,-0.008047,0.0,0.053654,288.53,285.69,566.62,-50.58,138505371,0
2025-05-02,SPY   250509P00280000,7,627,2025-05-09,P,280.0,,,,0.0,0,330,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,50.58,138505372,0
2025-05-02,SPY   250509C00285000,7,627,2025-05-09,C,285.0,,,,282.115,0,0,0.860449,0.999685,-1.0,0.0,-0.008646,0.0,0.054612,283.54,280.69,566.62,-49.7,138505373,0
2025-05-02,SPY   250509P00285000,7,627,2025-05-09,P,285.0,,,,0.0,0,0,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,49.7,138505374,0
2025-05-02,SPY   250509C00290000,7,627,2025-05-09,C,290.0,,,,277.115,0,0,0.860449,0.999685,-1.0,0.0,-0.009246,0.0,0.05557,278.53,275.7,566.62,-48.82,138505375,0
2025-05-02,SPY   250509P00290000,7,627,2025-05-09,P,290.0,,,,0.0,0,39,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,48.82,138505376,0
2025-05-02,SPY   250509C00295000,7,627,2025-05-09,C,295.0,,,,272.12,0,0,0.860449,0.999685,-1.0,0.0,-0.009845,0.0,0.056528,273.54,270.7,566.62,-47.94,138505377,0
2025-05-02,SPY   250509P00295000,7,627,2025-05-09,P,295.0,,,,0.0,0,728,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,47.94,138505378,0
2025-05-02,SPY   250509C00300000,7,627,2025-05-09,C,300.0,,,,267.135,0,6,0.860449,0.999685,-1.0,0.0,-0.010445,0.0,0.057486,268.56,265.71,566.62,-47.05,138169205,0
2025-05-02,SPY   250509P00300000,7,627,2025-05-09,P,300.0,0.01,0.01,0.01,0.0,32,2263,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,47.05,138169206,0
2025-05-02,SPY   250509C00305000,7,627,2025-05-09,C,305.0,,,,262.135,0,1,0.860449,0.999685,-1.0,0.0,-0.011045,0.0,0.058444,263.56,260.71,566.62,-46.17,138169207,0
2025-05-02,SPY   250509P00305000,7,627,2025-05-09,P,305.0,,,,0.0,0,115,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,46.17,138169208,0
2025-05-02,SPY   250509C00310000,7,627,2025-05-09,C,310.0,,,,257.14,0,0,0.860449,0.999685,-1.0,0.0,-0.011647,1e-06,0.059402,258.56,255.72,566.62,-45.29,138169209,0
2025-05-02,SPY   250509P00310000,7,627,2025-05-09,P,310.0,,,,0.0,0,328,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,45.29,138169210,0
2025-05-02,SPY   250509C00315000,7,627,2025-05-09,C,315.0,,,,252.145,0,0,0.860449,0.999684,-1.0,0.0,-0.01225,1e-06,0.06036,253.57,250.72,566.62,-44.41,138169211,0
2025-05-02,SPY   250509P00315000,7,627,2025-05-09,P,315.0,,,,0.0,0,189,0.608331,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.01,0.0,566.62,44.41,138169212,0
2025-05-02,SPY   250509C00320000,7,627,2025-05-09,C,320.0,,,,247.14,0,0,0.860449,0.999684,-1.0,0.0,-0.012856,2e-06,0.061318,248.56,245.72,566.62,-43.52,138169213,0
