,c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
0,2025-04-09,SPY   250509P00300000,30,627,2025-05-09,P,300.0,0.98,0.98,0.17,0.225,394,65,0.848322,-0.005002,0.848322,0.000109,-0.03158,0.022532,-0.002419,0.25,0.2,543.37,44.79,138169206,0
1,2025-04-09,SPY   250509P00305000,30,627,2025-05-09,P,305.0,0.84,1.04,0.31,0.245,39,12,0.835144,-0.005488,0.835144,0.000121,-0.033753,0.024468,-0.002652,0.27,0.22,543.37,43.87,138169208,0
2,2025-04-09,SPY   250509P00310000,30,627,2025-05-09,P,310.0,1.09,1.09,0.31,0.26,128,0,0.819558,-0.005899,0.819558,0.000131,-0.035309,0.026089,-0.002848,0.29,0.23,543.37,42.95,138169210,0
3,2025-04-09,SPY   250509P00315000,30,627,2025-05-09,P,315.0,1.12,1.18,0.33,0.29,70,17,0.809112,-0.006594,0.809112,0.000147,-0.038463,0.028794,-0.003183,0.32,0.26,543.37,42.03,138169212,0
4,2025-04-09,SPY   250509P00320000,30,627,2025-05-09,P,320.0,1.25,1.3,0.19,0.33499998,82,2,0.802441,-0.007573,0.802441,0.000167,-0.04309,0.032533,-0.003657,0.39,0.28,543.37,41.11,138169214,0
5,2025-04-09,SPY   250509P00325000,30,627,2025-05-09,P,325.0,1.25,1.38,0.35,0.335,143,76,0.781222,-0.007772,0.781222,0.000176,-0.042909,0.033286,-0.003746,0.37,0.3,543.37,40.19,138169216,0
6,2025-04-09,SPY   250509P00330000,30,627,2025-05-09,P,330.0,1.53,1.6,0.42,0.36,15,0,0.767462,-0.008437,0.767462,0.000192,-0.045293,0.035775,-0.004064,0.39,0.33,543.37,39.27,138169218,0
7,2025-04-09,SPY   250509P00335000,30,627,2025-05-09,P,335.0,1.6,1.63,0.34,0.385,18,11,0.753338,-0.009124,0.753338,0.00021,-0.047607,0.038318,-0.004391,0.41,0.36,543.37,38.35,138169220,0
8,2025-04-09,SPY   250509P00340000,30,627,2025-05-09,P,340.0,1.83,1.83,0.27,0.43,17,1,0.743715,-0.010202,0.743715,0.000234,-0.051802,0.042246,-0.00491,0.46,0.4,543.37,37.43,138169222,0
9,2025-04-09,SPY   250509P00345000,30,627,2025-05-09,P,345.0,1.73,1.81,0.3,0.485,18,37,0.735266,-0.01149,0.735266,0.000263,-0.056778,0.04685,-0.00553,0.55,0.42,543.37,36.51,138169224,0
10,2025-04-09,SPY   250509P00350000,30,627,2025-05-09,P,350.0,2.33,2.33,0.5,0.5,110,52,0.717681,-0.012084,0.717681,0.000281,-0.05788,0.048946,-0.005808,0.53,0.47,543.37,35.59,138169226,0
11,2025-04-09,SPY   250509P00355000,30,627,2025-05-09,P,355.0,2.14,2.21,0.6,0.575,101,49,0.711468,-0.013804,0.711468,0.000318,-0.064357,0.054916,-0.006638,0.64,0.51,543.37,34.67,138169228,0
