Spot Move(%),scenario,S_0,S_t,put_iv_0,Change_in_put_iv (%),put_iv_t,call_iv_0,Change_in_call_iv (%),call_iv_t,V_p_0,Change_in_put_price (%),V_p_t,V_c_0,Change_in_call_price (%),V_c_t,pnl_dollars,pnl_percentage,avg_pnl_for_spot_move
15.0,vol_collapse,543.37,624.88,0.3233,-25.0,0.2425,0.2109,-9.0,0.192,8.475,-100.0,0.0,4.225,1182.8066,54.1986,10867203.99,12.82,"10,867,491.14"
15.0,normal_decline,543.37,624.88,0.3233,-17.0,0.2683,0.2109,-6.0,0.1983,8.475,-100.0,0.0,4.225,1182.824,54.1993,10867350.59,12.82,"10,867,491.14"
15.0,mixed_regime,543.37,624.88,0.3233,-10.0,0.291,0.2109,-3.0,0.2046,8.475,-100.0,0.0,4.225,1182.8489,54.2004,10867561.84,12.82,"10,867,491.14"
15.0,persistent_vol,543.37,624.88,0.3233,-4.0,0.3104,0.2109,0.0,0.2109,8.475,-99.9998,0.0,4.225,1182.8829,54.2018,10867848.15,12.82,"10,867,491.14"
10.0,vol_collapse,543.37,597.71,0.3233,-18.0,0.2651,0.2109,-7.0,0.1962,8.475,-99.9985,0.0001,4.225,546.6878,27.3226,5478548.89,6.46,"5,492,550.97"
10.0,normal_decline,543.37,597.71,0.3233,-13.0,0.2813,0.2109,-5.0,0.2004,8.475,-99.9955,0.0004,4.225,547.4504,27.3548,5484983.78,6.47,"5,492,550.97"
10.0,mixed_regime,543.37,597.71,0.3233,-7.0,0.3007,0.2109,-2.0,0.2067,8.475,-99.9868,0.0011,4.225,548.7154,27.4082,5495626.18,6.48,"5,492,550.97"
10.0,persistent_vol,543.37,597.71,0.3233,-2.0,0.3168,0.2109,2.0,0.2152,8.475,-99.9718,0.0024,4.225,550.5506,27.4858,5511045.03,6.5,"5,492,550.97"
5.0,vol_collapse,543.37,570.54,0.3233,-12.0,0.2845,0.2109,-5.0,0.2004,8.475,-99.5889,0.0348,4.225,48.028,6.2542,1250868.38,1.48,"1,296,417.13"
5.0,normal_decline,543.37,570.54,0.3233,-7.0,0.3007,0.2109,-3.0,0.2046,8.475,-99.3348,0.0564,4.225,51.1752,6.3872,1275375.07,1.5,"1,296,417.13"
5.0,mixed_regime,543.37,570.54,0.3233,0.0,0.3233,0.2109,0.0,0.2109,8.475,-98.8131,0.1006,4.225,55.8959,6.5866,1310943.94,1.55,"1,296,417.13"
5.0,persistent_vol,543.37,570.54,0.3233,3.0,0.333,0.2109,3.0,0.2173,8.475,-98.5239,0.1251,4.225,60.6165,6.786,1348481.13,1.59,"1,296,417.13"
2.5,vol_collapse,543.37,556.95,0.3233,-5.0,0.3071,0.2109,-2.0,0.2067,8.475,-96.2508,0.3177,4.225,-57.9574,1.7763,324761.47,0.38,"339,795.66"
2.5,normal_decline,543.37,556.95,0.3233,-2.0,0.3168,0.2109,-1.0,0.2088,8.475,-95.5564,0.3766,4.225,-56.8585,1.8227,328185.68,0.39,"339,795.66"
2.5,mixed_regime,543.37,556.95,0.3233,4.0,0.3362,0.2109,2.0,0.2152,8.475,-93.9743,0.5107,4.225,-53.564,1.9619,342685.59,0.4,"339,795.66"
2.5,persistent_vol,543.37,556.95,0.3233,7.0,0.3459,0.2109,5.0,0.2215,8.475,-93.0699,0.5873,4.225,-50.1963,2.1042,363549.88,0.43,"339,795.66"
0.0,vol_collapse,543.37,543.37,0.3233,-2.0,0.3168,0.2109,-2.0,0.2067,8.475,-84.3338,1.3277,4.225,-93.3022,0.283,-75643.89,-0.09,"-89,373.66"
0.0,normal_decline,543.37,543.37,0.3233,0.0,0.3233,0.2109,0.0,0.2109,8.475,-83.2255,1.4216,4.225,-92.5791,0.3135,-78912.21,-0.09,"-89,373.66"
0.0,mixed_regime,543.37,543.37,0.3233,5.0,0.3394,0.2109,3.0,0.2173,8.475,-80.3026,1.6694,4.225,-91.4109,0.3629,-93787.54,-0.11,"-89,373.66"
0.0,persistent_vol,543.37,543.37,0.3233,10.0,0.3556,0.2109,6.0,0.2236,8.475,-77.2072,1.9317,4.225,-90.1277,0.4171,-109151.0,-0.13,"-89,373.66"
-2.5,vol_collapse,543.37,529.79,0.3233,2.0,0.3297,0.2109,0.0,0.2109,8.475,-51.6934,4.094,4.225,-99.3387,0.0279,-403407.74,-0.48,"-441,953.11"
-2.5,normal_decline,543.37,529.79,0.3233,4.0,0.3362,0.2109,1.0,0.2131,8.475,-49.8481,4.2504,4.225,-99.2789,0.0305,-418539.9,-0.49,"-441,953.11"
-2.5,mixed_regime,543.37,529.79,0.3233,9.0,0.3524,0.2109,3.0,0.2173,8.475,-45.1131,4.6517,4.225,-99.1426,0.0362,-457514.67,-0.54,"-441,953.11"
-2.5,persistent_vol,543.37,529.79,0.3233,13.0,0.3653,0.2109,5.0,0.2215,8.475,-41.3227,4.9729,4.225,-98.9905,0.0427,-488350.14,-0.58,"-441,953.11"
-5.0,vol_collapse,543.37,516.2,0.3233,5.0,0.3394,0.2109,2.0,0.2152,8.475,11.3636,9.4381,4.225,-99.9626,0.0016,-943100.85,-1.11,"-1,007,394.99"
-5.0,normal_decline,543.37,516.2,0.3233,9.0,0.3524,0.2109,3.0,0.2173,8.475,15.708,9.8063,4.225,-99.9574,0.0018,-979876.52,-1.16,"-1,007,394.99"
-5.0,mixed_regime,543.37,516.2,0.3233,14.0,0.3685,0.2109,5.0,0.2215,8.475,21.1386,10.2665,4.225,-99.9447,0.0023,-1025793.19,-1.21,"-1,007,394.99"
-5.0,persistent_vol,543.37,516.2,0.3233,20.0,0.3879,0.2109,8.0,0.2278,8.475,27.6553,10.8188,4.225,-99.9196,0.0034,-1080809.39,-1.28,"-1,007,394.99"
-10.0,vol_collapse,543.37,489.03,0.3233,6.0,0.3427,0.2109,2.0,0.2152,8.475,234.01,28.3073,4.225,-100.0,0.0,-2830345.78,-3.34,"-2,898,077.08"
-10.0,normal_decline,543.37,489.03,0.3233,16.0,0.375,0.2109,5.0,0.2215,8.475,239.8939,28.806,4.225,-100.0,0.0,-2880211.9,-3.4,"-2,898,077.08"
