Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Rolling_17d_Return
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,,
Date,,,,,,,,,
1/3/00,91.88778687,145.4375,148.25,143.875,148.25,8164300,,,
1/4/00,88.29439545,139.75,144.0625,139.640625,143.53125,8089800,-0.039106301,-0.039106301,
1/5/00,88.45232391,140,141.53125,137.25,139.9375,12177900,0.001788658,-0.037387591,
1/6/00,87.03079987,137.75,141.5,137.75,139.625,6227200,-0.016071076,-0.052857808,
1/7/00,92.08524323,145.75,145.75,140.0625,140.3125,8066500,0.05807649,0.002148886,
1/10/00,92.40114594,146.25,146.90625,145.03125,146.25,5741700,0.003430547,0.005586804,
1/11/00,91.29541016,144.5,146.09375,143.5,145.8125,7503700,-0.011966689,-0.00644674,
1/12/00,90.38728333,143.0625,144.59375,142.875,144.59375,6907700,-0.009947125,-0.016329739,
1/13/00,91.61133575,145,145.75,143.28125,144.46875,5158300,0.013542308,-0.003008573,
1/14/00,92.85520935,146.96875,147.46875,145.96875,146.53125,7437300,0.013577726,0.010528303,
1/18/00,92.12468719,145.8125,146.625,145.1875,145.34375,6488500,-0.007867325,0.002578148,
1/19/00,92.87497711,147,147,145,145.3125,6157900,0.008144287,0.010743433,
1/20/00,91.45342255,144.75,146.96875,143.8125,146.96875,5800100,-0.015306109,-0.004727117,
1/21/00,91.25593567,144.4375,145.5,144.0625,145.5,6244800,-0.002159426,-0.006876335,
1/24/00,88.66956329,140.34375,145.84375,139.40625,145.65625,7896900,-0.028341963,-0.035023409,
1/25/00,89.67643738,141.9375,141.9375,139,140.515625,9942500,0.011355352,-0.024065761,
1/26/00,88.96566772,140.8125,141.546875,140.09375,141,5158100,-0.007925935,-0.031800952,
1/27/00,88.61032867,140.25,142.21875,138.125,141.84375,10922700,-0.003994114,-0.03566805,-0.03566805
1/28/00,85.84614563,135.875,140.0625,135.53125,139.4375,11916200,-0.031194818,-0.065750209,-0.027728258
1/31/00,88.17594147,139.5625,139.671875,135,135.8125,10768700,0.027139201,-0.040395416,-0.003124649
2/1/00,89.04464722,140.9375,141.6875,138.53125,139.75,8419900,0.009851959,-0.030941431,0.023139479
2/2/00,89.12362671,141.0625,142.25,140.375,141.28125,6205900,0.000886965,-0.03008191,-0.032161684
2/3/00,90.46621704,143.1875,143.25,140,140.875,7997500,0.015064359,-0.015470716,-0.020940529
2/4/00,90.09112549,142.59375,144,142.125,143.1875,4925400,-0.004146206,-0.019552777,-0.013191076
2/7/00,89.9528656,142.375,142.78125,141.4375,142.5625,5845800,-0.001534667,-0.021057437,-0.004806182
2/8/00,91.17696381,144.3125,144.5625,143.625,143.96875,4936400,0.013608218,-0.007735773,-0.004741465
2/9/00,89.26181793,141.28125,144.46875,141.265625,144.46875,8511500,-0.021004712,-0.028577997,-0.038698867
2/10/00,89.43955231,141.5625,142.5625,140.875,141.625,6690600,0.001991158,-0.026643743,-0.029146746
2/11/00,87.62311554,138.6875,141.9375,138.03125,141.84375,9849800,-0.0203091,-0.046411732,-0.056547649
2/14/00,88.13648224,139.5,139.78125,138.3125,139.78125,8528800,0.005858804,-0.040824845,-0.036269176
2/15/00,89.1335144,141.078125,141.21875,137.796875,139.25,11078300,0.011312366,-0.029974304,-0.023257898
2/16/00,87.82056427,139,140.9375,138.796875,140.375,8845400,-0.014730151,-0.044262929,-0.009574864
2/17/00,87.36639404,138.28125,140.4375,138.21875,140.4375,7584200,-0.00517157,-0.049205591,-0.025759758
2/18/00,85.49077606,135.3125,138.875,134.625,138.875,9409200,-0.021468415,-0.069617639,-0.039058794
2/22/00,85.27357483,134.96875,136.34375,133.53125,135.1875,16415400,-0.002540639,-0.071981405,-0.037656489
2/23/00,86.28050232,136.5625,137.46875,134.5,135.625,12119000,0.011808201,-0.061023176,0.005059711
2/24/00,84.54306793,133.8125,137.03125,133.09375,136.6875,17375000,-0.020137045,-0.079931394,-0.041200281
